iter	Logloss
0	0.6714194806
1	0.6549416817
2	0.6372659136
3	0.6212199269
4	0.6097628603
5	0.5970648963
6	0.5849381557
7	0.5764956642
8	0.5680661112
9	0.5587124208
10	0.5514924788
11	0.5453544259
12	0.5394937826
13	0.5335986864
14	0.5298487114
15	0.5252669992
16	0.5207699913
17	0.5173468318
18	0.5129549051
19	0.5090544494
20	0.5060231437
21	0.5033615114
22	0.5002752715
23	0.4976556422
24	0.4957830921
25	0.492335002
26	0.4904990623
27	0.488198659
28	0.4875594946
29	0.4862907407
30	0.4843910737
31	0.4834545136
32	0.482875299
33	0.4816550405
34	0.4802115956
35	0.4790935913
36	0.4776248191
37	0.4764295326
38	0.4757260805
39	0.4745825284
40	0.473775791
41	0.4730303373
42	0.4720819334
43	0.4711683183
44	0.4697618119
45	0.4696973772
46	0.4683724968
47	0.4678121206
48	0.4676843711
49	0.4665779415
50	0.4661833162
51	0.4655409452
52	0.4653887097
53	0.4651278782
54	0.4645244107
55	0.4643137194
56	0.4634294969
57	0.4633586867
58	0.4625728336
59	0.461995876
60	0.461584951
61	0.4614248585
62	0.4606863006
63	0.4606020616
64	0.4600399519
65	0.4593756283
66	0.4589549848
67	0.4585373983
68	0.4580595115
69	0.4575467159
70	0.457104719
71	0.4565619223
72	0.4563274712
73	0.4557607102
74	0.4554166495
75	0.4549472566
76	0.4545985438
77	0.4540659042
78	0.4534121989
79	0.4530985972
80	0.4527878745
81	0.4525223044
82	0.4522546008
83	0.4516689252
84	0.4513166762
85	0.4509127612
86	0.4505392275
87	0.4501525166
88	0.4501006048
89	0.4498987723
90	0.4496332676
91	0.4494652664
92	0.4492182856
93	0.4489172979
94	0.4488384135
95	0.4487515339
96	0.4478502948
97	0.4475087913
98	0.4470176551
99	0.4469292483
