iter	Passed	Remaining
0	48	4778
1	49	2420
2	50	1631
3	51	1238
4	52	999
5	53	843
6	54	729
7	55	643
8	56	575
9	58	523
10	59	479
11	60	442
12	61	410
13	62	383
14	63	359
15	64	338
16	65	319
17	66	302
18	67	286
19	68	272
20	69	260
21	70	248
22	71	238
23	72	228
24	73	220
25	74	213
26	76	207
27	79	203
28	79	195
29	81	189
30	82	183
31	83	176
32	83	170
33	84	164
34	85	159
35	86	154
36	88	151
37	89	146
38	91	142
39	92	138
40	94	135
41	95	132
42	100	133
43	102	130
44	103	126
45	104	122
46	105	118
47	106	115
48	106	111
49	107	107
50	109	104
51	110	101
52	110	98
53	113	96
54	114	93
55	114	90
56	116	87
57	116	84
58	117	81
59	118	79
60	119	76
61	120	73
62	121	71
63	121	68
64	122	66
65	124	64
66	125	61
67	126	59
68	127	57
69	128	55
70	129	52
71	130	50
72	131	48
73	132	46
74	133	44
75	134	42
76	135	40
77	135	38
78	136	36
79	138	34
80	140	32
81	141	31
82	142	29
83	143	27
84	144	25
85	145	23
86	146	21
87	147	20
88	147	18
89	148	16
90	149	14
91	150	13
92	151	11
93	152	9
94	153	8
95	154	6
96	155	4
97	156	3
98	157	1
99	158	0
